incremental_bookings,discount,platng_carrier_key,travel_date,tckt_route_key,bk_windw_cat,price,dollar_gain,key
3.8138113,0.14,ARLN1,2023-12-22,R26,6,758.1222,372.9822169088648,286424
3.2714825,0.14,ARLN3,2023-12-23,R26,1,762.0429,321.5982883163183,297425
1.6123002,0.15,ARLN2,2023-12-20,R15,2,1465.015,301.16059920186103,325113
5.314086,0.13,ARLN2,2023-10-01,R5,1,389.87,270.3702514856386,260470
5.7432117,0.15,ARLN2,2023-11-16,R5,1,365.8113,267.8687987699561,328167
5.275132,0.13,ARLN2,2023-12-02,R48,1,383.1525,263.76400074197886,260197
5.02849,0.15,ARLN6,2023-10-22,R31,1,390.6657,250.4684704523749,345346
4.0622864,0.05,ARLN2,2023-10-06,R1,2,428.1136,247.8246064222412,5708
2.5010881,0.05,ARLN6,2023-10-09,R24,1,684.158,243.83737323876858,22100
5.218273,0.13,ARLN2,2023-11-22,R5,1,357.9297,243.74463067406904,260605
1.4654479,0.15,ARLN3,2023-11-18,R43,5,1300.08,242.91293743772502,333246
1.2146778,0.13,ARLN2,2023-11-08,R15,1,1430.5667,226.76693034593265,257483
2.3844614,0.15,ARLN2,2023-12-10,R48,1,717.3229,218.07966797881863,327791
2.3806725,0.1,ARLN6,2023-11-19,R24,1,676.254,217.34180148662568,177009
1.1608632,0.05,ARLN2,2023-10-25,R17,1,1308.9,216.5221652954221,6483
1.1608657,0.15,ARLN3,2023-12-07,R45,1,1461.5967,216.33147160467206,333534
2.5916843,0.11,ARLN3,2023-12-25,R25,2,612.81,212.02604584982868,196900
2.8529224,0.05,ARLN3,2023-10-02,R45,0,515.5667,209.5992325727019,12907
4.4965,0.15,ARLN2,2023-12-29,R5,1,364.8023,209.14252730834625,328284
3.905754,0.1,ARLN3,2023-12-18,R26,1,369.2524,194.6982246260834,164605
3.1519914,0.14,ARLN1,2023-12-30,R26,6,459.1227,186.6824515165336,286453
2.5086622,0.1,ARLN3,2023-12-19,R26,3,547.7163,185.49475080906058,164615
3.9238691,0.15,ARLN6,2023-11-21,R24,1,361.472,180.8420249633789,344182
1.8350334,0.09,ARLN3,2023-10-26,R15,1,721.2608,180.66289198099366,130555
2.4017143,0.05,ARLN3,2023-11-17,R17,3,523.68,179.2264904708862,9874
1.8304119,0.1,ARLN6,2023-10-05,R33,1,723.934,178.88815121206284,178383
4.6787233,0.13,ARLN3,2023-12-31,R26,2,291.7144,178.1130516519665,263812
3.53624,0.14,ARLN6,2023-12-21,R47,3,389.5656,177.7100770660206,314005
2.966528,0.12,ARLN3,2023-12-28,R26,6,446.43,174.81381294136048,230433
3.8638039,0.15,ARLN3,2023-10-16,R49,2,353.49,174.14154353399275,333893
1.8008237,0.15,ARLN6,2023-11-27,R28,1,732.117,168.09773863573906,344816
3.3208542,0.09,ARLN6,2023-10-15,R3,1,369.7083,167.5875140978199,145454
1.6939974,0.07,ARLN6,2023-10-11,R28,1,702.32,165.96708977451325,81906
1.6939974,0.05,ARLN6,2023-11-11,R48,1,683.845,165.07650876528024,25560
2.7713008,0.07,ARLN1,2023-12-26,R26,6,423.6923,163.7979435553494,59954
2.8000476,0.06,ARLN1,2023-11-28,R26,5,412.55,162.87751096655128,30402
1.6045763,0.11,ARLN2,2023-12-16,R48,1,730.53,156.48751991657136,193896
1.5856376,0.13,ARLN2,2023-12-14,R15,1,746.5667,154.483839092257,257572
1.1491766,0.14,ARLN1,2023-11-26,R43,1,1037.65,153.82515944781304,288780
